,page,text,face,h1,h2,l,r
0,450,NOUVELLE FLORE ,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",19.122976303100586,31.12897491455078,172.32000732421875,252.475341796875
1,450,373,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",19.122976303100586,31.12897491455078,388.2924499511719,403.21966552734375
2,450,t,"Font: 'Helvetica-Bold' (sans, proportional, bold), size 3.96942, color #000000",37.408939361572266,44.295318603515625,311.760009765625,312.8091735839844
3,450,que les feuilles. Fleurs ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",41.25702667236328,55.931026458740234,19.200000762939453,125.95764923095703
4,450,et ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",41.25702667236328,55.931026458740234,138.95932006835938,149.5503387451172
5,450,mêlées dans toutes ces inflorescences. Sépales vert-,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",41.25702667236328,55.931026458740234,162.552001953125,403.38531494140625
6,450,"clair, à quelques poils irritants. Une forme","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",52.77698516845703,67.45098876953125,19.200000762939453,214.75669860839844
7,450, (iners,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000",53.89898681640625,67.32998657226562,214.75669860839844,244.16168212890625
8,450, (Forsk.),"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",52.77698516845703,67.45098876953125,244.16168212890625,282.4093322753906
9,450, Weddellin,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",52.77698516845703,67.45098876953125,282.4093322753906,335.9163513183594
10,450," D.C.), connue","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",52.77698516845703,67.45098876953125,335.9163513183594,403.035400390625
11,450,en,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",64.29700469970703,78.97100830078125,19.200000762939453,29.577180862426758
12,450, Egypte,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",64.29700469970703,78.97100830078125,29.577180862426758,64.961181640625
13,450," et vers le Sahara, n'a pas de poils irritants. Malgré son nom, cette espèce","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",64.29700469970703,78.97100830078125,64.961181640625,403.032470703125
14,450,"est d'ailleurs, ainsi que","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",75.81702423095703,90.49102783203125,18.959999084472656,123.1287841796875
15,450," membranacea,","Font: 'Times-Italic' (italic, serifed, proportional), size 10.9942, color #000000",76.93902587890625,90.37002563476562,123.1287841796875,191.72401428222656
16,450, relativement peu urticante.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",75.81702423095703,90.49102783203125,191.72401428222656,319.7341003417969
17,450,Floraison: mars-juin. Lieux cultivés et terrains vagues.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",89.82998657226562,103.16998291015625,36.959999084472656,253.4215545654297
18,450,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",101.58999633789062,114.92999267578125,36.720001220703125,45.129058837890625
19,450, Ct.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",102.60999298095703,114.81999206542969,45.129058837890625,65.70819091796875
20,450," Ras Bayada (Pb), Beyrouth et environs (P, Vt, Np, Mt, Th), Tripoli","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",101.58999633789062,114.92999267578125,65.70819091796875,339.0986633300781
21,450, (Bl).,"Font: 'Times-Roman' (serifed, proportional), size 9.87193, color #000000",101.58999633789062,114.92999267578125,339.0986633300781,359.4930725097656
22,450,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",113.35000610351562,126.69000244140625,36.720001220703125,44.55881881713867
23,450, Mi.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",114.37000274658203,126.58000183105469,44.55881881713867,66.38436126708984
24,450, Massiaf (P).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",113.35000610351562,126.69000244140625,66.38436126708984,117.5050048828125
25,450, Sy.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",114.37000274658203,126.58000183105469,117.5050048828125,136.65853881835938
26,450, Alep,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000",113.35000610351562,126.69000244140625,136.65853881835938,159.1435546875
27,450," (JL),","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",113.35000610351562,126.69000244140625,159.1435546875,182.1986846923828
28,450, Homs,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000",113.35000610351562,126.69000244140625,182.1986846923828,209.0676727294922
29,450," (P, Pb).","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",113.35000610351562,126.69000244140625,209.0676727294922,244.95419311523438
30,450, Dam.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",114.37000274658203,126.58000183105469,244.95419311523438,273.8048095703125
31,450, Damas (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",113.35000610351562,126.69000244140625,273.8048095703125,327.92022705078125
32,450, St.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",114.37000274658203,126.58000183105469,327.92022705078125,345.2274169921875
33,450," 'Aqerbat (Bl),","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",113.35000610351562,126.69000244140625,345.2274169921875,402.73455810546875
