,0,1,2,3
142,"ANABASIS L. — Arbrisseaux ou herbes à tiges et rameaux articulés, à feuillesopposées, très souvent réduites à des écailles. Fleurs hermaphrodites à deux bractées,solitaires, plus rarement groupées. Périanthe à sépales libres jusqu'à la base. Akènemembraneux, parfois bacciforme, pourvu d'ailes à la fructification. Graine verticale.",page 513 of document.pdf,,
143,genus,Anabasis, haussknechtii,page 513 of document.pdf
144,genus,Anabasis,setifera,page 513 of document.pdf
145,"HALOCHARIS Moq. — Fleurs hermaphrodites à deux bractéoles, solitaires,axillaires, en épis.",page 514 of document.pdf,,
146,genus,Halocharis, sulphurea,page 514 of document.pdf
147,genus,Halocharis, hispida,page 514 of document.pdf
148,genus,Halocharis, sp.,page 515 of document.pdf
149,genus,Halimocnemis, pilosa,page 515 of document.pdf
150,"CORNULACA Del. — Sous-arbrisseaux ligneux, à feuilles subulées ou épi-neuses, à aisselles sétifères. Fleurs hermaphrodites, axillaires, solitaires ou en glomé-rules entourés de laine. Fleurs solitaires à deux bractéoles. Fleurs des glomérules,les extérieures à 2-3 bractéoles, celles du centre sans bractéoles. Sépales 5, ascen-dants, soudés à la base, libres, hyalins et denticulés au sommet. 5 staminodes. Éta-mines 5, à anthères mutiques ou apiculées.",page 515 of document.pdf,,
151,genus,Cornulaca,setifera,page 515 of document.pdf
152,genus,Halogeton, alopecuroides,page 516 of document.pdf
153,"AMARANTHUS L. — Herbes annuelles ou pérennantes, à tiges dressées oucouchées. Feuilles alternes, ordinairement entières, à nervation pennée, avec lesnervures très saillantes en-dessous. Fleurs monoïques ou polygames, fasciculées endichases. Fascicules disposés en spicastres ou en panicule dressée ou penchée, parfoistous axillaires. Bractées et bractéqjes scarieuses, persistantes, fleurs à 5, rarement 2 ou4 sépales scarieux, ordinairement libres. Étamines 2-5. Ovaire membraneux, com-primé latéralement. Pyxide ou akène à péricarpe membraneux. Graine lenticulaire,ordinairement noire ou luisante.",page 517 of document.pdf,,
154,genus,Amaranthus,hybridus,page 518 of document.pdf
155,genus,Amaranthus, retroflexus,page 519 of document.pdf
156,genus,Amaranthus,gracilis,page 519 of document.pdf
157,genus,Amaranthus, albus,page 519 of document.pdf
158,genus,Amaranthus, blitoides,page 519 of document.pdf
159,genus,Amaranthus, graecizans,page 520 of document.pdf
160,genus,Amaranthus,lividus,page 520 of document.pdf
161,genus,Amaranthus,deflexus,page 521 of document.pdf
162,"ACHYRANTHES L. — Plante ou sous-arbrisseaux à feuilles opposées, à ra-meaux articulés, à fleurs en épi, hermaphrodites, dotées d'une bractée et de deuxbractéoles. Périanthe à 5, rarement 4 sépales, glabres, inégaux.",page 521 of document.pdf,,
163,genus,Achyranthes, aspera,page 521 of document.pdf
164,"ALTERNANTHERA Forsk. — Herbes annuelles ou sous-arbrisseaux, àfeuilles opposées, sessiles bu pétiolées. Fleurs en glomérules capituliformes, axillaires,rarement terminaux, pourvues d'une bractée et de deux bractéoles. 5 sépales, libres,2-3 ou 5 étamines. Ovaire subglobuleux ou ovale. Graine inversée, lenticulaire.",page 521 of document.pdf,,
165,genus,Alternanthera, sessilis,page 521 of document.pdf
