,page,text,face
61,0,Urtica pilulifera,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
62,0, L.,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
63,0, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
64,0," CXXIII, n. 2). — ®. Tige 20 cm. à 2 m., cou-","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
65,0,"verte de poils urticants épars, quadrangulaire, rameuse, dressée. Feuilles ovales","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
66,0,"jusqu'à 12 cm. de long, cordées ou tronquées à la base, à marge profondément","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
67,0,"dentée par des dents à pointe aiguë, à poils urticants épars. Inflorescences ","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
68,0,pani-,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
69,0,"culiformes, géminées à l'aisselle des feuilles supérieures, dressées, rameuses, lâches,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
70,0,"à fleurs groupées en petits glomérules, portant quelques poils urticants. Inflores-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
71,0,cence ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
72,0,"en glomérules solitaires ou géminés, brièvement ou longuement","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
73,0," pédoncules,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
74,0,"3-5 mm. à l'anthèse, 10-12 mm. à maturité. Sépales verts, ovales, inégaux, densé-","Font: 'Times-Roman' (serifed, proportional), size 10.9571, color #000000"
75,0,ment hérissés de poils urticants.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
76,0,Floraison:,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
77,0," mars-juin. Haies,","Font: 'Times-Roman' (serifed, proportional), size 9.9934, color #000000"
78,0, décombres.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
79,0,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.95952, color #000000"
80,0, Ct.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
81,0, Saïda,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
82,0," (Gaill,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
83,0," Bl), Beyrouth (P, Mt), Tripoli (Bl).","Font: 'Times-Roman' (serifed, proportional), size 9.95706, color #000000"
84,0, Mi.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
85,0," Ba'abda (Mt), Broummana","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
86,0,(Bl).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
87,0, Herm.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
88,0, Rachaya (Berton).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.90954, color #000000"
89,0, St.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
90,0, Qa'a (Pb).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
91,0,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
92,0, Ct.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
93,0, Banias (P).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
94,0, Sy.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
95,0," Alep (JL), 'Aïn","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
96,0, Delfi,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
97,0, (Gb).,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
98,0, Dam.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
99,0, Jab.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
100,0, Qasyoun,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
101,0, (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
102,0, Sud.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
103,0, Fiq (Pb).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
104,0,St.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
105,0," Khan Abou Chamate (Gb), Resafa (Pb).","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
106,0,"Aire géogr. — Europe, Méditerranée, Asie antérieure.","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
107,0,Urtica dioica,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
108,0, L.,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
109,0, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
110,0," CXXIII, n. 1). —","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
111,0, 2J..,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
112,0," Dioïque, ou parfois monoïque.","Font: 'Times-Roman' (serifed, proportional), size 10.9628, color #000000"
113,0,"Rhizome court, rampant, plus ou moins ligneux. Tige dressée, d'un vert foncé,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
114,0,"ainsi que le feuillage, 15 cm. à","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
115,0, 1,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
116,0, ,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
117,0,"m., quadrangulaire, simple ou peu rameuse.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
118,0,"Feuilles oblongues ou oblongues-lancéolées, 4-10 cm. de long, fortement dentées.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
119,0,"Dents ovales, aiguës, peu inégales. Inflorescences géminées à l'aisselle des feuilles","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
120,0,"paniculiformes, à rameaux latéraux courts dans les inflorescences , plus longs dans","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
121,0,les inflorescences ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
122,0,"ou androgynes, étalées-dressées ou pendantes, à fleurs fasciculées","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
123,0,en fascicules serrés ou un peu distants. Fleurs ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
124,0,"à 4 sépales égaux, pubescents, ovales,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
125,0,obtus. Fleurs ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
126,0,"à 4 sépales inégaux, les internes ordinairement plus longs.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
127,0,La forme monoïque (var.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
128,0, angustifolia,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
129,0, Schlecht.) est probablement étrangère à notre territoire.,"Font: 'Times-Italic' (italic, serifed, proportional), size 10, color #000000"
130,0,"Floraison : avril à septembre. Décombres, surtout près de points d'eau. Dolines fréquentées par","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
131,0,les troupeaux. Manque ou,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
132,0, rr.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
133,0, sur la côte et à faible altitude.,"Font: 'Times-Roman' (serifed, proportional), size 10.0449, color #000000"
134,0,374 ,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
135,0,NOUVELLE FLORE,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
136,0,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
137,0, Ct.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
138,0, Tripoli,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
139,0, (Bl).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
140,0, Mi.,"Font: 'Times-Roman' (serifed, proportional), size 9.87193, color #000000"
141,0, Broummana,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
142,0," (Bl),","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
143,0, Faraya (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 9.87193, color #000000"
144,0, Mm.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
