,0,1,2,3
0,"PTERANTHUS Forsk. — Herbe annuelle, charnue, à feuilles opposées, fas-ciculifères, ce qui les rend pseudo-verticillées. Cymes biflores portés par un pédon-cule commun accrescent, large, oblong, aplati et tombant avec lui. Fleurs sessiles,latérales. Calice 4-partite à sépales oblongs-linéaires, prolongés par un appendicevertical scarieux-marginé. 4 étamines. Pas de corolle.",page 528 of document.pdf,,
1,genus,Pteranthus, dichotomus,page 528 of document.pdf
2,"SCLERANTHUS L. — Herbes de petite taille, à feuilles linéaires-sétacées.Calice à tube urcéolé, à la fin durci. 5 sépales mutiques. Pétales filiformes, parfoisavortés. Étamines 5. Ovaire libre. Styles 2, distincts.",page 528 of document.pdf,,
3,genus,Scleranthus, orientalis,page 528 of document.pdf
4,genus,Scleranthus, collinus,page 529 of document.pdf
5,genus,Habrosia,spinuliflora,page 529 of document.pdf
6,"CORRIGIOLA L. — Herbes annuelles ou vivaces à feuilles un peu charnueset stipules scarieuses. Calice persistant, à 5 sépales obtus, à marge claire et mince.5 pétales arrondis égalant le calice. 5 étamines insérées sur la marge d'un disque trèspetit. Styles 3, très courts. Fruit crustacé, inclus dans le calice.",page 529 of document.pdf,,
7,genus,Gorrigiola, littoralis,page 529 of document.pdf
8,"TELEPHIUM L. — Herbes un peu charnues, à feuilles alternes, stipulées.Calice à 5 sépales. Corolle à 5 pétales, 5 étamines. 3 styles. Capsule à 3-4 valves.",page 529 of document.pdf,,
9,genus,Telephium," imperati L.,",page 530 of document.pdf
10,"HERNIARIA L. — Herbes cespiteuses, annuelles ou vivaces, parfois sous-frutescentes, à rameaux couchés et feuilles supérieures souvent alternes. Fleurs trèspetites. Calice à 4 ou 5 sépales piano-concaves. Pétales filiformes. Étamines 5,4 ou2. Styles 2, libres.",page 530 of document.pdf,,
11,genus,Herniaria,hirsuta,page 530 of document.pdf
12,genus,Herniaria,cinerea,page 530 of document.pdf
13,genus,Herniaria,glabra,page 531 of document.pdf
14,genus,Herniaria,incana,page 531 of document.pdf
15,genus,Herniaria,arabica,page 531 of document.pdf
16,genus,Herniaria,hemistemon,page 532 of document.pdf
17,"PARONYCHIA Adanson. — Herbes à tiges couchées, à feuilles opposées, àfleurs généralement noyées dans leurs bractées, celles-ci scarieuses et très amples.Calice à 5 sépales piano-concaves ou cucullés au sommet. Pétales filiformes. Étamines5 ou 3, insérées à la gorge du calice.",page 532 of document.pdf,,
18,genus,Paronychia,chionaea,page 532 of document.pdf
19,genus,Paronychia,kurdica,page 533 of document.pdf
20,genus,Paronychia, macrosepala,page 533 of document.pdf
21,genus,Paronychia,argentea,page 533 of document.pdf
22,genus,Paronychia,arabica,page 533 of document.pdf
23,genus,Paronychia,echinata,page 534 of document.pdf
24,genus,Polycarpon,tetraphyllum,page 534 of document.pdf
25,"ROBBAIREA Boiss. — Herbes ressemblant aux Polycarpon, à calice de 5 sé-pales piano-concaves, étroitement scarieux à la marge, à 5 pétales onguiculés.",page 535 of document.pdf,,
26,"SPERGULA L. — Herbes annuelles à feuilles filiformes très fines, fasciculéesen pseudo-verticilles brièvement stipités. Calice à 5 sépales un peu charnus, 5 pétalesentiers, 5-10 étamines. Graines lenticulaires, marginées ou ailées.",page 537 of document.pdf,,
27,genus,Spergula,arvensis,page 537 of document.pdf
28,genus,Spergula,fallax,page 537 of document.pdf
29,genus,Buffonia, paniculata,page 538 of document.pdf
30,genus,Buffonia,ephedrina,page 538 of document.pdf
31,"SAGINA L. — Herbes cespiteuses annuelles ou vivaces, à fleurs blanches, àfeuilles subulées, connées à la base en une gaine. Calice à 4 ou 5 sépales. Pétalesabsents ou 4-5, entiers ou rétus. Étamines 4-10. Ovaire multiovulé. Capsule à 4-5valves. Graines réniformes.",page 539 of document.pdf,,
32,genus,Sagina,libanotica,page 539 of document.pdf
33,genus,Sagina,apetala,page 539 of document.pdf
34,genus,Sagina,maritima,page 539 of document.pdf
35,genus,Minuartia,labillardieri,page 541 of document.pdf
36,genus,Minuartia,juniperina,page 541 of document.pdf
37,genus,Minuartia,libanotica,page 541 of document.pdf
38,genus,Minuartia,parvulorum,page 542 of document.pdf
39,genus,Minuartia,innominata,page 542 of document.pdf
40,genus,Minuartia,decipiens,page 544 of document.pdf
41,genus,Minuartia,montana,page 544 of document.pdf
42,genus,Minuartia,mesogitana,page 544 of document.pdf
43,genus,Minuartia, hybrid»,page 545 of document.pdf
44,genus,Minuartia,subtilis,page 545 of document.pdf
45,genus,Minuartia, mediterranea,page 545 of document.pdf
46,genus,Minuartia, thymifolia,page 546 of document.pdf
47,genus,Minuartia,picta,page 546 of document.pdf
48,genus,Minuartia, formosa,page 547 of document.pdf
49,genus,Minuartia, hamata,page 547 of document.pdf
50,genus,Arenaria,libanotica,page 548 of document.pdf
51,genus,Arenaria,deflexa,page 548 of document.pdf
52,genus,Arenaria,leptoclados,page 549 of document.pdf
53,genus,Arenaria,serpyllifolia,page 549 of document.pdf
54,genus,Arenaria,cassia,page 549 of document.pdf
55,"STELLARIA L. — Plantes souvent diffuses, molles, annuelles ou vivaces, àfleurs blanches. Calice à 5 sépales, rarement 4. Pétales 5 ou 4, ordinairement pro-fondément bfides, parfois avortés.",page 550 of document.pdf,,
56,genus,Stellaria, ciliciea,page 551 of document.pdf
57,genus,Stellaria,media,page 551 of document.pdf
58,"HOLOSTEUM L. — Herbes annuelles basses, à fleurs en ombelle, à pédi-celles inégaux, réfractés à la fructification, puis se redressant après la chute desgraines. Calice à 5 sépales. Pétales 5, entiers ou dentés.",page 552 of document.pdf,,
59,genus,Holosteum, umbellatum,page 552 of document.pdf
60,genus,Holosteum,liniflorum,page 552 of document.pdf
61,genus,Moenchia, octandra,page 553 of document.pdf
62,"CERASTIUM L. — Herbes annuelles ou cespiteuses à feuilles opposées,sessiles. Fleurs en dichases terminaux, feuilles ou nus. Sépales 5, rarement 4. Pétales5 ou 4, bifides, émarginés, rarement entiers ou laciniés, parfois nuls. Étamines 10ou 8, ou moins par avortement. Ovaire uniloculaire, multiovulé. Styles 5, opposésaux sépales, rarement 4 ou 3. Capsule cylindrique ou cylindro-conique, membra-neuse, dépassant ordinairement le calice, déhiscente au sommet par des dentscourtes, en nombre double de celui des styles. Graines réniformes-arrondies, plusou moins comprimées, ordinairement verruqueuses, parfois cristulées.",page 553 of document.pdf,,
63,genus,Cerastium,dubium,page 554 of document.pdf
64,genus,Cerastium,cerastoides,page 555 of document.pdf
65,genus,Cerastium,perfoliatum,page 555 of document.pdf
66,genus,Cerastium,comatum,page 555 of document.pdf
67,genus,Cerastium,dichotomum,page 555 of document.pdf
68,genus,Cerastium, inflatum,page 556 of document.pdf
69,genus,Cerastium,glomeratum,page 556 of document.pdf
70,genus,Cerastium,brachypetalum,page 556 of document.pdf
71,genus,Cerastium, pentandrum,page 557 of document.pdf
72,genus,Gerastium, fragillimum,page 557 of document.pdf
73,genus,Agrostemma,githago,page 558 of document.pdf
74,genus,Melandrium, album,page 559 of document.pdf
75,genus,Melandrium,eriocalycinum,page 559 of document.pdf
76,genus,Silène,coniflora,page 564 of document.pdf
77,genus,Silène,lydia,page 565 of document.pdf
78,genus,Silène, conoidea,page 565 of document.pdf
79,genus,Silène, macrodonta,page 565 of document.pdf
80,genus,Silène,caeli-rosa,page 567 of document.pdf
81,genus,Silène,eretica,page 567 of document.pdf
82,genus,Silène, crassipes,page 567 of document.pdf
83,genus,Silène, papillosa,page 567 of document.pdf
84,genus,Silène,racemosa,page 568 of document.pdf
85,genus,Silène, sibthorpiana,page 568 of document.pdf
86,genus,Silène, gallica,page 568 of document.pdf
87,genus,Silène, cerastoides,page 569 of document.pdf
88,genus,Silène, setacea,page 569 of document.pdf
89,genus,Silène, damascena,page 569 of document.pdf
90,genus,Silène, siderophila,page 569 of document.pdf
91,genus,Silène, colorata,page 571 of document.pdf
92,genus,Silène, oliveriana,page 571 of document.pdf
93,genus,Silène, rubella,page 572 of document.pdf
94,genus,Silène,sedoides,page 572 of document.pdf
95,genus,Silène, fuscata,page 572 of document.pdf
96,genus,Silène, aegyptiaca,page 572 of document.pdf
97,genus,Silène,kotschyi,page 573 of document.pdf
98,genus,Silène, striata,page 573 of document.pdf
99,genus,Silène, cassia,page 573 of document.pdf
100,genus,Silène, linearis,page 574 of document.pdf
101,genus,Silène, juncea,page 574 of document.pdf
102,genus,Silène, modesta,page 575 of document.pdf
103,genus,Silène, intricata,page 575 of document.pdf
104,genus,Silène, capitellata,page 575 of document.pdf
105,genus,Silène,pharaaceifolia,page 575 of document.pdf
106,genus,Silène, stenobotrys,page 576 of document.pdf
107,genus,Silène, pruinosa,page 576 of document.pdf
108,genus,Silène,caryophylloides,page 576 of document.pdf
109,genus,Silène, boryi,page 576 of document.pdf
110,genus,Silène, physalodes,page 578 of document.pdf
111,genus,Silène, italica,page 578 of document.pdf
112,genus,Silène, astartes,page 578 of document.pdf
113,genus,Silène,amana,page 579 of document.pdf
114,genus,Silène, confertiflora,page 579 of document.pdf
115,genus,Silène,marschallii,page 579 of document.pdf
116,genus,Silène, longipetala,page 579 of document.pdf
117,genus,Silène, chlorifolia,page 580 of document.pdf
118,genus,Silène, swertiifolia,page 580 of document.pdf
119,genus,Silène, succulenta,page 582 of document.pdf
120,genus,Silène, schlumbergeri,page 582 of document.pdf
121,"CUCUBALUS L. — Plante vivace, à tiges allongées, grimpantes. Calicecampanule, court, large, 5-lobé, à 10 nervures anastomosées, dont 5 commissurales.Pétales 5, onguiculées, à gorge pourvue d'une couronne. Étamines 10. Styles 3.Fruit constitué par une baie non déhiscente, triloculaire, portée par un carpophore.",page 582 of document.pdf,,
122,genus,Gucubalus, baccifer,page 582 of document.pdf
123,"VACCARIA Medikus. — Herbes annuelles, glabres, à tiges rameuses, dicho-tomiques. Calice multinervié, accrescent durant la fructification, devenant ové etailé aux angles. Pétales onguiculés. Capsule polysperme, biloculaire à la base, 4-dentée au sommet. Graines subglobuleuses.",page 583 of document.pdf,,
124,genus,Vaccaria,pyramidata,page 583 of document.pdf
125,genus,Vaccaria,oxyodonta,page 583 of document.pdf
126,"SAPONARIA L. — Plantes annuelles ou vivaces, à calice cylindrique ouoblong-cylindrique, parcouru par des nervures nombreuses généralement non sail-lantes et peu visibles. Pétales 5, à onglet étroit bilamellé dans sa longueur. Lamesouvent bien distincte de l'onglet, nue à la base ou pourvue de courts appendices.",page 584 of document.pdf,,
127,genus,Saponaria,bargyliana,page 585 of document.pdf
128,genus,Saponaria,pulvinaris,page 585 of document.pdf
129,genus,Saponaria,tridentata,page 585 of document.pdf
130,"GYPSOPHILA L. — Plantes annuelles ou vivaces, ou sous-arbrisseaux,ordinairement dichotomiquement rameux dans leur partie supérieure. Feuilleslinéaires ou lancéolées, plus rarement ovales, souvent un peu charnues. Inflorescencestantôt très lâches, tantôt condensées ou même capitées. Fleurs petites, blanches ouroses, pentamères. Calice campanule, ou subcylindrique, parfois très profondémentdivisé. Pétales étalés, à lame émarginée ou plus ou moins bifide. Pas de couronne.Onglets parfois ailés. Styles 2, rarement 3. Capsule uniloculaire, s'ouvrant par 4ou 6 dents. Graines comprimées, réniformes. Embryon arqué.",page 586 of document.pdf,,
131,genus,Gypsophila, venusta,page 587 of document.pdf
132,genus,Gypsophila, anatolica,page 588 of document.pdf
133,genus,Gypsophila,arabica,page 588 of document.pdf
134,genus,Gypsophila, libanotica,page 589 of document.pdf
135,genus,Gypsophila,aucheri,page 589 of document.pdf
136,genus,Gypsophila,pallida,page 589 of document.pdf
137,genus,Gypsophila,damascena,page 590 of document.pdf
138,genus,Gypsophila,ruscifolia,page 590 of document.pdf
139,genus,Gypsophila,linearifolia,page 590 of document.pdf
140,genus,Gypsophila,antari,page 590 of document.pdf
141,genus,Gypsophila, heteropoda,page 591 of document.pdf
142,genus,Gypsophila,viscosa,page 591 of document.pdf
143,genus,Gypsophila, frankenioides,page 592 of document.pdf
