,0,1,2,3
144,genus,Gypsophila,mollis,page 592 of document.pdf
145,genus,Gypsophila,polygonoides,page 592 of document.pdf
146,genus,Gypsophila, filicaulis,page 593 of document.pdf
147,genus,Gypsophila,pilosa,page 593 of document.pdf
148,genus,Ankyropetalum, gypsophiloides,page 594 of document.pdf
149,genus,Ankyropetalum,coelesyriacum,page 594 of document.pdf
150,genus,Ankyropetalum,arsusianum,page 594 of document.pdf
151,genus,Acanthophyllum,kurdicum,page 595 of document.pdf
152,genus,Kohlrauschia,velutina,page 595 of document.pdf
153,"TUNICA Boehm. — Plantes à tiges rigides, à feuilles courtes et fleurs petites.Calice turbiné ou tubuleux, à 5 dents, 5-15 nervures, rarement 30-35. 5 pétales àonglet allongé, à lame entière ou bifide sans couronne. Étamines 10. Capsuleoblongue, à colonne placentaire allongée. Graines scutiformes.",page 595 of document.pdf,,
154,genus,Tunica,syriaca,page 596 of document.pdf
155,genus,Tunica,pachygona,page 596 of document.pdf
156,genus,Tunica,arabica,page 596 of document.pdf
157,"VELEZIA L. — Herbes annuelles, dichotomes, rigides, à feuilles étroitementlinéaires. Calice très étroit, tubuleux, à 5 dents et 5 à 15 côtes. Pétales 5, à ongletallongé et lame courte, sans couronne, celle-ci remplacée par quelques poils. Éta-mines 10-15. Capsule sphérique.",page 596 of document.pdf,,
158,genus,Velezia,rigida,page 597 of document.pdf
159,genus,Velezia,fasciculata,page 597 of document.pdf
160,genus,Dianthus,judaicus,page 603 of document.pdf
161,genus,Dianthus, micranthus,page 603 of document.pdf
162,genus,Dianthus,pachypetalus,page 603 of document.pdf
163,genus,Dianthus, libanotis,page 604 of document.pdf
164,genus,Dianthus,crinitus,page 604 of document.pdf
165,genus,Dianthus, orientalis,page 604 of document.pdf
166,genus,Dianthus, pendulus,page 605 of document.pdf
167,genus,Dianthus,actinopetalus,page 606 of document.pdf
168,genus,Dianthus, karami,page 606 of document.pdf
