,page,text,face,h1,h2
48,450,rescences,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",197.01699829101562,211.69100952148438
49,450, ,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",197.01699829101562,211.69100952148438
50,450,plus,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",197.01699829101562,211.69100952148438
51,450," longues que les feuilles, à axe aplati, étalées ou penchées, très","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",197.01699829101562,211.69100952148438
52,450,"étroites, géminées, pédonculées, pouvant atteindre 15 cm. Fleurs à sépales ovés,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",208.5369873046875,223.21099853515625
53,450,parfois teintées de pourpre. Inflorescences ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",220.0570068359375,234.73101806640625
54,450,"plus courtes, en","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",220.0570068359375,234.73101806640625
55,450, glomérules.,"Font: 'Times-Roman' (serifed, proportional), size 10.9566, color #000000",220.0570068359375,234.73101806640625
56,450,Floraison: janvier-mai. Cultures et terrains vagues.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",235.75,249.08999633789062
57,450,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",248.47000122070312,261.80999755859375
58,450, Ct.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",249.49000549316406,261.70001220703125
59,450," Saïda (Bl), Khaldé (Gb), Beyrouth (Bl, P, Vt, Gb, Mt, Np, Pb), Tripoli (Bl, P).","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",248.47000122070312,261.80999755859375
60,450,Aire géogr. —• Côtes de la Méditerranée.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",261.19000244140625,274.5299987792969
61,450,Urtica pilulifera,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000",277.5159912109375,292.7510070800781
62,450, L.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",277.4169921875,292.09100341796875
63,450, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000",277.4169921875,292.09100341796875
64,450," CXXIII, n. 2). — ®. Tige 20 cm. à 2 m., cou-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",277.4169921875,292.09100341796875
